class;size;iOSSpacer;type;marketingNumber;name;modelId

iPhone4in;4.0;20;phone;5;iPhone 5;iPhone5,1
iPhone4in;4.0;20;phone;5;iPhone 5;iPhone5,2
iPhone4in;4.0;20;phone;5C;iPhone 5C;iPhone5,3
iPhone4in;4.0;20;phone;5C;iPhone 5C;iPhone5,4
iPhone4in;4.0;20;phone;5S;iPhone 5S;iPhone6,1
iPhone4in;4.0;20;phone;5S;iPhone 5S;iPhone6,2
iPhone4in;4.0;20;phone;SE;iPhone SE 1st Gen;iPhone8,4

iPhone4p7in;4.7;20;phone;6;iPhone 6;iPhone7,2
iPhone4p7in;4.7;20;phone;6S;iPhone 6S;iPhone8,1
iPhone4p7in;4.7;20;phone;7;iPhone 7;iPhone9,1
iPhone4p7in;4.7;20;phone;7;iPhone 7;iPhone9,3
iPhone4p7in;4.7;20;phone;8;iPhone 8;iPhone10,1
iPhone4p7in;4.7;20;phone;8;iPhone 8;iPhone10,4
iPhone4p7in;4.7;20;phone;SE;iPhone SE 2nd Gen;iPhone12,8
iPhone4p7in;4.7;20;phone;SE;iPhone SE 3rd Gen;iPhone14,6

iPhone5p5inEarly;5.5;20;phone;6;iPhone 6 Plus;iPhone7,1
iPhone5p5inEarly;5.5;20;phone;6;iPhone 6S Plus;iPhone8,2
iPhone5p5inEarly;5.5;20;phone;7;iPhone 7 Plus;iPhone9,2
iPhone5p5inEarly;5.5;20;phone;7;iPhone 7 Plus;iPhone9,4
iPhone5p5inEarly;5.5;20;phone;8;iPhone 8 Plus;iPhone10,2
iPhone5p5inEarly;5.5;20;phone;8;iPhone 8 Plus;iPhone10,5

iPhone5p5inMini;5.5;20;phone;12;iPhone 12 Mini;iPhone13,1
iPhone5p5inMini;5.5;20;phone;13;iPhone 13 Mini;iPhone14,4

iPhone5p8in;5.8;36;phone;X;iPhone X;iPhone10,3
iPhone5p8in;5.8;36;phone;X;iPhone X;iPhone10,6
iPhone5p8in;5.8;36;phone;XS;iPhone XS;iPhone11,2
iPhone5p8in;5.8;36;phone;11;iPhone 11 Pro;iPhone12,3

iPhone6p1in;6.1;36;phone;11;iPhone 11;iPhone12,1
iPhone6p1in;6.1;36;phone;12;iPhone 12 Pro;iPhone13,3
iPhone6p1in;6.1;36;phone;12;iPhone 12;iPhone13,2
iPhone6p1in;6.1;36;phone;13;iPhone 13 Pro;iPhone14,2
iPhone6p1in;6.1;36;phone;13;iPhone 13;iPhone14,5
iPhone6p1in;6.1;36;phone;14;iPhone 14;iPhone14,7
iPhone6p1in;6.1;52;phone;15;iPhone 15 Pro;iPhone16,1
iPhone6p1in;6.1;52;phone;15;iPhone 15;iPhone15,4
iPhone6p1in;6.1;36;phone;XR;iPhone XR;iPhone11,8
iPhone6p1in;6.1;52;phone;16;iPhone 16;iPhone17,3
iPhone6p1in;6.1;52;phone;16E;iPhone 16e;iPhone17,5
iPhone6p1in;6.3;52;phone;16;iPhone 16 Pro;iPhone17,1
iPhone6p1in;6.3;52;phone;17;iPhone 17 Pro;iPhone18,1
iPhone6p1in;6.3;52;phone;17;iPhone 17;iPhone18,3

iPhone6p5in;6.5;36;phone;11;iPhone 11 Pro Max;iPhone12,5
iPhone6p5in;6.5;36;phone;13;iPhone 13 Pro Max;iPhone14,3
iPhone6p5in;6.5;36;phone;14;iPhone 14 Plus;iPhone14,8
iPhone6p5in;6.5;52;phone;14;iPhone 14 Pro Max;iPhone15,3
iPhone6p5in;6.5;52;phone;14;iPhone 14 Pro;iPhone15,2
iPhone6p5in;6.5;57;phone;Air;iPhone Air;iPhone18,4
iPhone6p5in;6.5;36;phone;XS;iPhone XS Max;iPhone11,4
iPhone6p5in;6.5;36;phone;XS;iPhone XS Max;iPhone11,6
iPhone6p5in;6.7;36;phone;12;iPhone 12 Pro Max;iPhone13,4
iPhone6p5in;6.7;36;phone;15;iPhone 15 Plus;iPhone15,5
iPhone6p5in;6.7;50;phone;15;iPhone 15 Pro Max;iPhone16,2
iPhone6p5in;6.7;52;phone;16;iPhone 16 Plus;iPhone17,4
iPhone6p5in;6.9;52;phone;16;iPhone 16 Pro Max;iPhone17,2
iPhone6p5in;6.9;52;phone;17;iPhone 17 Pro Max;iPhone18,2

iPad11in;9.7;26;ipad;1;iPad Air 1st Gen;iPad4,1
iPad11in;9.7;26;ipad;1;iPad Air 1st Gen;iPad4,2
iPad11in;9.7;26;ipad;1;iPad Air 1st Gen;iPad4,3
iPad11in;9.7;26;ipad;2;iPad Air 2nd Gen;iPad5,3
